open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,volume,return
250.0,212.4,295.0,205.6,242376.0,5645861888.0,2020,7,20,15,0,2020-07-20 15:00,242376.0,0.15039999999999998
208.0,274.0,285.6,202.0,175848.0,4292970752.0,2020,7,21,15,0,2020-07-21 15:00,175848.0,-0.3173076923076923
260.0,281.0,284.33,257.77,127018.0,3450335232.0,2020,7,22,15,0,2020-07-22 15:00,127018.0,-0.08076923076923077
274.92,281.5,297.77,268.0,99202.0,2791441920.0,2020,7,23,15,0,2020-07-23 15:00,99202.0,-0.02393423541393854
273.0,259.33,276.0,240.44,113852.0,2940728576.0,2020,7,24,15,0,2020-07-24 15:00,113852.0,0.05007326007326013
252.28,234.01,257.9,227.94,83388.0,2022044416.0,2020,7,27,15,0,2020-07-27 15:00,83388.0,0.0724195338512764
236.0,238.64,243.8,227.5,59775.0,1410915456.0,2020,7,28,15,0,2020-07-28 15:00,59775.0,-0.011186440677966043
234.53,241.5,245.78,229.66,54732.0,1312286208.0,2020,7,29,15,0,2020-07-29 15:00,54732.0,-0.029719012493071243
240.0,243.17,254.99,236.36,61808.0,1516837888.0,2020,7,30,15,0,2020-07-30 15:00,61808.0,-0.013208333333333282
238.01,249.6,255.55,237.1,56294.0,1392176384.0,2020,7,31,15,0,2020-07-31 15:00,56294.0,-0.048695432965001485
250.01,249.5,257.88,247.01,69721.0,1760964736.0,2020,8,3,15,0,2020-08-03 15:00,69721.0,0.0020399184032638333
250.97,235.0,252.88,232.99,59089.0,1424160512.0,2020,8,4,15,0,2020-08-04 15:00,59089.0,0.0636331035581942
246.0,236.92,246.0,236.79,40822.0,985070016.0,2020,8,5,15,0,2020-08-05 15:00,40822.0,0.036910569105691106
233.96,243.83,247.45,231.8,50131.0,1211258368.0,2020,8,6,15,0,2020-08-06 15:00,50131.0,-0.04218669858095403
240.98,227.44,240.98,223.37,48537.0,1119390464.0,2020,8,7,15,0,2020-08-07 15:00,48537.0,0.05618723545522447
219.99,222.5,225.89,218.0,25177.0,556920384.0,2020,8,10,15,0,2020-08-10 15:00,25177.0,-0.011409609527705762
220.88,221.49,226.3,219.1,22435.0,499535712.0,2020,8,11,15,0,2020-08-11 15:00,22435.0,-0.0027616805505252338
220.33,217.76,222.0,213.5,20281.0,437985760.0,2020,8,12,15,0,2020-08-12 15:00,20281.0,0.011664321699269375
219.0,212.5,219.6,212.0,17440.0,375895488.0,2020,8,13,15,0,2020-08-13 15:00,17440.0,0.02968036529680365
212.33,212.68,213.9,207.5,16535.0,348869120.0,2020,8,14,15,0,2020-08-14 15:00,16535.0,-0.0016483775255498247
213.0,219.08,219.8,209.68,20562.0,443435968.0,2020,8,17,15,0,2020-08-17 15:00,20562.0,-0.028544600938967195
219.18,213.81,219.18,212.3,18394.0,394749728.0,2020,8,18,15,0,2020-08-18 15:00,18394.0,0.024500410621407082
213.88,205.2,214.5,204.87,19689.0,411339040.0,2020,8,19,15,0,2020-08-19 15:00,19689.0,0.040583504769029395
