类型,日期,涨跌幅(%),收盘价(元)
涨幅最大,2020-07-21,29.0,274.0
涨幅最大,2023-03-17,20.0,122.93
涨幅最大,2023-04-20,20.0,266.16
涨幅最大,2023-10-19,20.0,144.24
涨幅最大,2024-07-16,20.0,249.84
涨幅最大,2024-09-30,20.0,289.16
涨幅最大,2024-10-08,20.0,346.99
涨幅最大,2024-10-18,20.0,429.71
涨幅最大,2025-02-21,20.0,742.21
涨幅最大,2025-08-12,20.0,848.88
跌幅最大,2026-05-08,-36.7,1182.53
跌幅最大,2023-10-23,-20.0,108.44
跌幅最大,2022-03-15,-18.38,66.02
跌幅最大,2025-01-16,-14.65,594.0
跌幅最大,2025-09-04,-14.45,1202.0
跌幅最大,2023-06-21,-13.49,230.98
跌幅最大,2024-09-05,-13.48,206.9
跌幅最大,2023-06-26,-12.33,202.5
跌幅最大,2025-04-07,-11.42,565.16
跌幅最大,2023-05-05,-10.66,207.98
