日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,股票名称
2023-09-01,000001,9.86,9.99,10.03,9.86,1138705,1285169019.19,1.73,1.94,0.19,0.59,平安银行
2023-09-04,000001,10.02,10.23,10.26,10.0,1410029,1621769196.4,2.6,2.4,0.24,0.73,平安银行
2023-09-05,000001,10.17,10.06,10.18,10.03,804177,917888858.57,1.47,-1.66,-0.17,0.41,平安银行
2023-09-06,000001,10.0,10.1,10.13,9.97,634841,721905681.98,1.59,0.4,0.04,0.33,平安银行
2023-09-07,000001,10.07,10.0,10.11,9.99,540042,613812175.91,1.19,-0.99,-0.1,0.28,平安银行
2023-09-08,000001,9.95,9.94,9.99,9.9,479030,539624962.82,0.9,-0.6,-0.06,0.25,平安银行
2023-09-11,000001,9.97,10.01,10.07,9.94,654486,741764911.22,1.31,0.7,0.07,0.34,平安银行
2023-09-12,000001,10.02,9.95,10.02,9.92,495485,559058535.52,1.0,-0.6,-0.06,0.26,平安银行
2023-09-13,000001,9.96,9.92,9.99,9.88,490218,551747627.68,1.11,-0.3,-0.03,0.25,平安银行
2023-09-14,000001,9.95,9.96,10.0,9.92,551650,622906052.62,0.81,0.4,0.04,0.28,平安银行
2023-09-15,000001,10.02,9.89,10.07,9.87,890476,1005529160.77,2.01,-0.7,-0.07,0.46,平安银行
2023-09-18,000001,9.89,9.9,9.91,9.81,501325,561449769.63,1.01,0.1,0.01,0.26,平安银行
2023-09-19,000001,9.89,9.88,9.9,9.83,503664,564044044.21,0.71,-0.2,-0.02,0.26,平安银行
2023-09-20,000001,9.87,9.82,9.89,9.82,558872,624785494.94,0.71,-0.61,-0.06,0.29,平安银行
2023-09-21,000001,9.81,9.72,9.81,9.71,843930,934673193.87,1.02,-1.02,-0.1,0.43,平安银行
2023-09-22,000001,9.7,9.91,9.92,9.7,911484,1017137921.82,2.26,1.95,0.19,0.47,平安银行
2023-09-25,000001,9.91,9.89,9.99,9.86,761211,856022502.11,1.31,-0.2,-0.02,0.39,平安银行
2023-09-26,000001,9.89,9.83,9.93,9.81,444980,497885810.84,1.21,-0.61,-0.06,0.23,平安银行
2023-09-27,000001,9.82,9.84,9.89,9.82,490311,547905820.77,0.71,0.1,0.01,0.25,平安银行
2023-09-28,000001,9.86,9.87,9.91,9.85,520697,583649730.04,0.61,0.3,0.03,0.27,平安银行
2023-10-09,000001,9.83,9.78,9.84,9.73,695828,772959353.15,1.11,-0.91,-0.09,0.36,平安银行
2023-10-10,000001,9.86,9.69,9.87,9.69,820749,910160341.9,1.84,-0.92,-0.09,0.42,平安银行
2023-10-11,000001,9.76,9.65,9.76,9.63,724116,797663827.0,1.34,-0.41,-0.04,0.37,平安银行
2023-10-12,000001,9.78,9.78,9.83,9.71,853058,947562324.75,1.24,1.35,0.13,0.44,平安银行
2023-10-13,000001,9.7,9.67,9.74,9.62,684483,753110725.51,1.23,-1.12,-0.11,0.35,平安银行
2023-10-16,000001,9.67,9.68,9.7,9.62,501624,550988719.63,0.83,0.1,0.01,0.26,平安银行
2023-10-17,000001,9.68,9.69,9.72,9.63,493525,543170900.73,0.93,0.1,0.01,0.25,平安银行
2023-10-18,000001,9.66,9.62,9.69,9.58,651825,713979896.11,1.14,-0.72,-0.07,0.34,平安银行
2023-10-19,000001,9.58,9.27,9.59,9.26,1188961,1271914676.53,3.43,-3.64,-0.35,0.61,平安银行
2023-10-20,000001,9.22,9.27,9.34,9.18,526139,557618632.37,1.73,0.0,0.0,0.27,平安银行
2023-10-23,000001,9.26,9.17,9.27,9.1,530404,557032228.65,1.83,-1.08,-0.1,0.27,平安银行
2023-10-24,000001,9.21,9.22,9.28,9.11,760653,801528403.67,1.85,0.55,0.05,0.39,平安银行
2023-10-25,000001,9.18,9.05,9.21,9.03,1411450,1470971923.59,1.95,-1.84,-0.17,0.73,平安银行
2023-10-26,000001,8.98,9.08,9.09,8.97,599991,621915276.9,1.33,0.33,0.03,0.31,平安银行
2023-10-27,000001,9.05,9.12,9.15,9.0,919771,957587534.43,1.65,0.44,0.04,0.47,平安银行
2023-10-30,000001,9.07,9.12,9.14,9.02,805690,837646002.04,1.32,0.0,0.0,0.42,平安银行
2023-10-31,000001,9.1,9.13,9.16,9.08,652855,682212137.64,0.88,0.11,0.01,0.34,平安银行
2023-11-01,000001,9.22,9.15,9.23,9.12,567300,595211885.0,1.2,0.22,0.02,0.29,平安银行
2023-11-02,000001,9.17,9.15,9.27,9.14,619430,652316669.93,1.42,0.0,0.0,0.32,平安银行
2023-11-03,000001,9.16,9.15,9.19,9.1,705463,738879704.3,0.98,0.0,0.0,0.36,平安银行
2023-11-06,000001,9.18,9.36,9.36,9.18,1007062,1069206837.68,1.97,2.3,0.21,0.52,平安银行
2023-11-07,000001,9.33,9.27,9.33,9.25,640866,679815569.19,0.85,-0.96,-0.09,0.33,平安银行
2023-11-08,000001,9.25,9.17,9.27,9.12,877819,923622008.11,1.62,-1.08,-0.1,0.45,平安银行
2023-11-09,000001,9.13,9.16,9.19,9.1,639136,669639052.44,0.98,-0.11,-0.01,0.33,平安银行
2023-11-10,000001,9.12,8.97,9.14,8.96,1045044,1080649733.98,1.97,-2.07,-0.19,0.54,平安银行
2023-11-13,000001,8.98,8.92,9.0,8.89,770043,789007117.83,1.23,-0.56,-0.05,0.4,平安银行
2023-11-14,000001,8.91,8.94,9.0,8.9,596859,613377697.97,1.12,0.22,0.02,0.31,平安银行
2023-11-15,000001,9.04,9.04,9.12,9.01,1109140,1152154780.34,1.23,1.12,0.1,0.57,平安银行
2023-11-16,000001,9.05,8.91,9.06,8.9,922622,948395097.33,1.77,-1.44,-0.13,0.48,平安银行
